Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
COMPUSDT,DASHUSDT,27.6K,7.6K,2025-Feb-12 00:00:37 UTC,Ornstein-Uhlenbeck,Spread,-0.94,-0.54,true,78.2%,24.3%,78.1%,true,true,0.87,4.4,48,4,107.8%,89.2%,-7.9%,-9.1%,-13.7%,24.5%,0.67
RUNEUSDT,SFPUSDT,801.5K,45.8K,2025-Feb-12 00:07:52 UTC,Not applicable,Copula,-0.89,0.83,true,11.4%,21.9%,19.5%,true,true,0.90,5.8,47,10,153.7%,76.0%,-3.1%,-9.8%,-16.1%,24.3%,0.66
AVAXUSDT,CHRUSDT,1.2M,27.7K,2025-Feb-12 00:03:55 UTC,Not applicable,Copula,0.22,0.91,true,81.6%,2.5%,76.5%,false,true,0.54,3.3,52,9,95.3%,109.3%,-0.8%,-1.3%,-2.2%,24.3%,2.08
BSVUSDT,NFPUSDT,64.9K,82.1K,2025-Feb-12 00:14:55 UTC,Not applicable,Copula,-0.13,1.34,false,35.6%,10.2%,58.5%,false,true,0.99,3.2,53,13,96.3%,123.5%,-4.0%,-12.2%,-17.5%,24.3%,0.61
ARPAUSDT,FLMUSDT,34.3K,17.8K,2025-Feb-12 00:02:47 UTC,Static AutoRegressive Moving Average,Spread,-2.58,-0.27,true,80.5%,4.0%,75.1%,false,false,0.86,8.4,35,5,110.9%,107.7%,-3.5%,-8.6%,-12.6%,24.2%,0.76
ARPAUSDT,FLMUSDT,34.3K,17.8K,2025-Feb-12 00:02:47 UTC,Not applicable,Copula,-2.32,0.22,true,80.5%,4.0%,75.1%,false,false,1.09,7.8,41,4,110.9%,107.7%,-5.8%,-11.1%,-15.7%,24.2%,0.65
ONDOUSDT,TRXUSDT,1.8M,1.1M,2025-Feb-12 00:07:08 UTC,Dynamic - Kalman Filter,Spread,0.41,0.80,true,70.4%,76.9%,28.6%,false,true,0.94,7.1,17,2,112.6%,67.4%,-2.9%,-2.9%,-9.6%,24.1%,1.00
BELUSDT,TLMUSDT,179.6K,31.0K,2025-Feb-12 00:05:31 UTC,Static AutoRegressive Moving Average,Spread,-3.92,0.20,true,99.2%,0.1%,79.9%,false,false,0.98,0.0,23,3,112.8%,108.6%,-6.1%,-7.6%,-20.5%,24.1%,0.63
AXSUSDT,KSMUSDT,283.0K,63.8K,2025-Feb-12 00:16:24 UTC,Dynamic - Kalman Filter,Spread,1.42,-0.51,false,0.9%,94.4%,72.4%,false,true,0.77,5.8,25,4,81.8%,109.5%,-2.0%,-3.2%,-5.8%,24.0%,0.98
ARPAUSDT,NKNUSDT,35.8K,11.6K,2025-Feb-12 00:02:52 UTC,Static AutoRegressive Moving Average,Spread,-0.34,0.65,true,46.8%,35.7%,94.4%,true,true,0.95,5.4,35,11,110.9%,100.6%,-5.0%,-9.4%,-17.5%,23.9%,0.66
